index,id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
85,47631,3/11/2017 0:00,Abandoned,0,C17031638,9.8102E+14,Boomer,DLH/Unknown,Orange,Cat,1 year 9 months.,Male,Feline Nursery,4/18/2017 0:00,Foster,0,5/10/2017 0:00,Stray,,Died in care,0,0,0
86,47631,3/11/2017 0:00,Abandoned,0,C17031638,9.8102E+14,Boomer,DLH/Unknown,Orange,Cat,1 year 9 months.,Male,Feline Nursery,5/11/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
87,47632,3/11/2017 0:00,Abandoned,0,C17031639,9.8102E+14,Evan,DSH/Unknown,Brown,Cat,1 year 9 months.,Male,Feline Nursery,4/6/2017 0:00,Foster,0,4/18/2017 0:00,Stray,,Died in care,0,0,0
88,47632,3/11/2017 0:00,Abandoned,0,C17031639,9.8102E+14,Evan,DSH/Unknown,Brown,Cat,1 year 9 months.,Male,Feline Nursery,4/18/2017 0:00,Foster,0,5/10/2017 0:00,Stray,,Died in care,0,0,0
89,47632,3/11/2017 0:00,Abandoned,0,C17031639,9.8102E+14,Evan,DSH/Unknown,Brown,Cat,1 year 9 months.,Male,Feline Nursery,5/11/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
90,47633,3/11/2017 0:00,Abandoned,0,C17031640,9.8102E+14,Beaux,DSH/Unknown,Brown and Black,Cat,1 year 9 months.,Female,Feline Nursery,4/6/2017 0:00,Foster,0,5/11/2017 0:00,Stray,,Died in care,0,0,0
91,47633,3/11/2017 0:00,Abandoned,0,C17031640,9.8102E+14,Beaux,DSH/Unknown,Brown and Black,Cat,1 year 9 months.,Female,Feline Nursery,5/16/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
92,47634,3/11/2017 0:00,Abandoned,0,C17031641,9.8102E+14,Dusty,Domestic Short Hair,Seal,Cat,1 year 8 months.,Female,Feline Nursery,4/6/2017 0:00,Foster,0,5/2/2017 0:00,Stray,,Died in care,0,0,0
93,47634,3/11/2017 0:00,Abandoned,0,C17031641,9.8102E+14,Dusty,Domestic Short Hair,Seal,Cat,1 year 8 months.,Female,Feline Nursery,5/4/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
94,47635,3/11/2017 0:00,Abandoned,0,C17031642,9.8102E+14,Ed,Domestic Short Hair,Black and White,Cat,1 year 8 months.,Male,Feline Nursery,4/6/2017 0:00,Foster,0,5/2/2017 0:00,Stray,,Died in care,0,0,0
95,47635,3/11/2017 0:00,Abandoned,0,C17031642,9.8102E+14,Ed,Domestic Short Hair,Black and White,Cat,1 year 8 months.,Male,Feline Nursery,5/7/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
96,47636,3/11/2017 0:00,Abandoned,0,C17031643,9.8102E+14,Tux,Domestic Short Hair,Black and White,Cat,1 year 8 months.,Male,Feline Nursery,4/6/2017 0:00,Foster,0,5/2/2017 0:00,Stray,,Died in care,0,0,0
97,47636,3/11/2017 0:00,Abandoned,0,C17031643,9.8102E+14,Tux,Domestic Short Hair,Black and White,Cat,1 year 8 months.,Male,Feline Nursery,5/4/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
98,47637,3/11/2017 0:00,Abandoned,0,C17031644,9.8102E+14,Trouble,Domestic Short Hair,White,Cat,1 year 8 months.,Male,Feline Nursery,4/6/2017 0:00,Foster,0,5/2/2017 0:00,Stray,,Died in care,0,0,0
99,47637,3/11/2017 0:00,Abandoned,0,C17031644,9.8102E+14,Trouble,Domestic Short Hair,White,Cat,1 year 8 months.,Male,Feline Nursery,5/7/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
100,47638,3/11/2017 0:00,Abandoned,0,C17031645,9.8102E+14,Samantha,Domestic Short Hair,Black and White,Cat,4 years 8 months.,Female,Adoptable Cat Kennels,4/6/2017 0:00,Foster,0,4/24/2017 0:00,Stray,,Died in care,0,0,0
101,47638,3/11/2017 0:00,Abandoned,0,C17031645,9.8102E+14,Samantha,Domestic Short Hair,Black and White,Cat,4 years 8 months.,Female,Adoptable Cat Kennels,5/6/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
102,47639,3/11/2017 0:00,Abandoned,0,D17031646,9.8102E+14,Apollo,Labrador Retriever/Collie,Black,Dog,3 years 0 months.,Male,Adoptable Dogs,3/31/2017 0:00,Adoption,0,4/1/2017 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
103,47639,3/11/2017 0:00,Abandoned,0,D17031646,9.8102E+14,Apollo,Labrador Retriever/Collie,Black,Dog,3 years 0 months.,Male,Adoptable Dogs,4/2/2017 0:00,Adoption,0,3/9/2019 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
